x, y
-0.01101936469689401, 3.942105088096727e-11
0.03870000881549176, 5.2255722408006263e-11
0.07960389057036232, 6.983485485318667e-11
0.11803943463312863, 9.611208278406462e-11
0.16925744174429197, 1.3030950645566565e-10
0.2073403661367577, 1.7934193603390924e-10
0.2510652052540331, 2.4880456838067096e-10
0.2889718198113485, 3.3786111780685317e-10
0.3456554318121713, 4.746448088850419e-10
0.39484587581910613, 6.73980873950028e-10
0.4383062501836561, 9.59904301722118e-10
0.4900531868002704, 1.3252481231501305e-9
0.5447092356968647, 1.815338810307299e-9
0.6002468337692105, 2.513069653657588e-9
0.65499103758338, 3.453254025258789e-9
0.7144956069466075, 4.7309787680351555e-9
0.7743527959801358, 6.394190989468861e-9
0.829537774382181, 8.772590393878245e-9
0.8841938232787753, 1.1722068453546259e-8
0.9421997590432254, 1.64419385604301e-8
1.0068173136258118, 2.238775052262964e-8
1.0776057124386589, 3.0666976009445084e-8
1.152449237459963, 4.31133095221944e-8
1.2302900296788224, 5.788886037743138e-8
1.312450412858864, 7.967108906530443e-8
1.3806823190620319, 1.0806493527507057e-7
1.4522641121330553, 1.4431560314040714e-7
1.5287825805882873, 1.9313965133904574e-7
1.627163468602157, 2.5521934840690044e-7
1.7254562016984516, 3.374936731994055e-7
1.8344156798213396, 4.525759542196476e-7
1.9434633128618026, 6.25542117752541e-7
2.0617672122476565, 8.277867756551903e-7
2.1874761247098236, 0.0000010552182512815115
2.3086009814580826, 0.0000013711062041579915
2.4616379183685466, 0.000001795596139114294
2.6037436454996916, 0.000002268443086238837
2.755105638976228, 0.000002811526107793017
2.934324586406512, 0.0000035712190716707472
3.0928271282066353, 0.000004354770625906883
3.28676794687197, 0.0000053727450957698945
3.503981663777145, 0.0000066315205633712885
3.7224295495283712, 0.000008041642994201782
3.94775351885046, 0.000009668471115971084
4.1823337545179395, 0.000011462966406316638
4.44635773265552, 0.000013631315309592687
4.706326584584644, 0.000015771711287370053
4.954570832476272, 0.000018144323112344587
5.233316681848903, 0.00002057808558089306
5.483059563339308, 0.000023492007681678513
5.756427962739855, 0.000026008189830284188
6.00546560488966, 0.000028662682764311096
6.26658047074726, 0.00003208330503457068
6.546648643883518, 0.00003494151043100574
6.7903088360612385, 0.00003795130158539467
7.019687931591784, 0.00004081644958322876
7.261232405747701, 0.00004346776634323511
7.4826775586964835, 0.00004610012191610298
7.7286297787311575, 0.000049630021869212845
7.936851694043667, 0.00005196384004135748
8.183861773089243, 0.00005538666317972244
8.413240868619788, 0.00005853161573936486
8.615468249537187, 0.000060692190196454426
8.823161235344246, 0.00006348275092517027
9.043548529282125, 0.00006663894371265382
9.264288442890306, 0.00006970292968392464
9.478504892597925, 0.00007225524443587006
9.680115189092298, 0.00007498657836565897
9.888689724075109, 0.00007778784984655164
10.10942963768329, 0.00008136445036550463
10.360494842937323, 0.00008446422718211921
10.58423202374306, 0.00008851185624159604
10.792453939055568, 0.00009156976619402158
11.011783373982546, 0.00009512619176959936
11.215156768828422, 0.00009783847795023795
11.407510798977404, 0.00010059938132120561
11.620669389674122, 0.00010261484396775543
11.82236784108607, 0.00010739424943515823
