VDS,IDS
-0.02606071689831748,-5.971049457177322e-08
0.1333211411850768,7.753317249698431e-07
0.3267190929041697,2.029252110977081e-06
0.556739209948793,3.1248492159227984e-06
0.8150146305779078,3.896562123039807e-06
1.0690380395025603,4.608564535585042e-06
1.3374634235552303,5.143244873341375e-06
1.602871250914411,5.531363088057901e-06
1.8612838332114117,5.982810615199034e-06
2.117638990490124,6.123039806996381e-06
2.378383321141185,6.305790108564535e-06
2.671497805413314,6.439686369119421e-06
2.930596196049744,6.667671893848009e-06
3.189420263350402,6.789806996381182e-06
3.4509875640087784,6.789806996381182e-06
3.7205102414045355,6.99065138721351e-06
3.9964795171909286,7.056694813027744e-06
4.251463057790782,7.181544028950543e-06
4.503840526700804,7.2439686369119425e-06
4.742090343818581,7.4013872135102536e-06
4.987198244330651,7.4158624849215925e-06
5.238615581565472,7.371531966224366e-06
5.488249817117776,7.466525934861278e-06
5.723482077542062,7.633896260554886e-06
5.955833942940746,7.747889022919179e-06
6.198061448427213,7.747889022919179e-06
6.440014630577908,7.936972255729795e-06
6.6912948061448425,8.056393244873341e-06
6.935854059985369,8.223763570566948e-06
7.174789685442574,8.240952955367912e-06
7.433065106071689,8.253618817852836e-06
7.676115581565472,8.458986731001205e-06
7.94659839063643,8.591978287092883e-06
8.184436722750549,8.700542822677923e-06
8.447787125091441,8.700542822677923e-06
8.687682882223847,8.808202653799758e-06
8.931693489392831,8.78015681544029e-06
9.206976956839794,8.913148371531965e-06
9.47691111923921,8.913148371531965e-06
9.713240673006583,9.046139927623641e-06
9.955193855157278,9.106755126658625e-06
10.205102414045355,9.244270205066345e-06
10.462417702999268,9.354644149577805e-06
10.749222750548647,9.571773220747889e-06
11.068260790051207,9.753618817852833e-06
11.343269934162398,9.81151990349819e-06
11.595784564740306,9.925512665862484e-06
11.896580102414045,1.0129071170084438e-05
